GEOID,Name,Short Name,Primary County GEOID,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
08601,"Bluffton East--Hilton Head Island, SC Urban Area","Bluffton East, SC",45013,69692,44776,63.241,1.821,32.253775,-80.867672
08607,"Bluffton West, SC Urban Area","Bluffton West, SC",45013,34102,15632,23.305,0.034,32.271051,-80.966117
08623,"Blythe, CA--AZ Urban Area","Blythe, CA",06065,11803,5063,6.201,0.043,33.609113,-114.579244
08650,"Blytheville, AR Urban Area","Blytheville, AR",05093,15765,7907,14.532,0.0,35.931893,-89.917459
08704,"Boerne, TX Urban Area","Boerne, TX",48259,19978,8033,9.651,0.0,29.779302,-98.718712
08731,"Bogalusa, LA Urban Area","Bogalusa, LA",22117,10698,5233,10.903,0.03,30.780619,-89.86476
08785,"Boise City, ID Urban Area","Boise City, ID",16001,441221,183449,139.23,1.939,43.617616,-116.301508
08812,"Bolivar, MO Urban Area","Bolivar, MO",29167,10402,4539,5.916,0.008,37.606027,-93.414705
08866,"Bolivar, TN Urban Area","Bolivar, TN",47069,5680,2606,4.741,0.0,35.264176,-89.000544
08920,"Bonham, TX Urban Area","Bonham, TX",48147,8127,3538,5.029,0.0,33.587318,-96.181486
08974,"Bonita Springs--Estero, FL Urban Area","Bonita Springs, FL",12021,434792,286678,242.959,21.019,26.23611,-81.746589
09005,"Bonne Terre, MO Urban Area","Bonne Terre, MO",29187,6387,1953,2.202,0.021,37.922602,-90.546587
09028,"Boone, IA Urban Area","Boone, IA",19015,12193,5701,7.609,0.001,42.056076,-93.875484
09055,"Boone, NC Urban Area","Boone, NC",37189,26500,10327,18.187,0.068,36.213842,-81.665197
09109,"Booneville, MS Urban Area","Booneville, MS",28117,5904,2647,6.37,0.01,34.661137,-88.555919
09163,"Boonville, IN Urban Area","Boonville, IN",18173,6474,3065,2.829,0.013,38.046847,-87.270935
09190,"Boonville, MO Urban Area","Boonville, MO",29053,7701,3240,5.824,0.022,38.961439,-92.746203
09200,"Boothbay Harbor, ME Urban Area","Boothbay Harbor, ME",23015,3120,3740,11.226,4.181,43.835485,-69.622164
