ZCTA5,Primary County,Primary County Subdivision,Primary Place,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
01073,25015,2501562745,,02103,6185,2587,28.149,0.804,42.226949,-72.741588
01074,25027,2502703740,,,694,258,0.259,0.02,42.380823,-72.103895
01075,25015,2501564145,,83926,17115,7669,17.722,0.72,42.256532,-72.580248
01077,25013,2501365825,2576030,83926,9244,3983,30.853,0.831,42.05257,-72.777353
01079,25013,2501352144,2552144,83926,640,262,1.607,0.019,42.185745,-72.33246
01080,25013,2501352144,2552144,83926,2674,1043,1.665,0.099,42.185727,-72.361558
01081,25013,2501372390,,,1716,833,14.473,0.227,42.061313,-72.234411
01082,25015,2501572880,2572845,91756,10533,5322,47.008,7.628,42.299749,-72.279164
01083,25027,2502773090,2573055,,2539,925,12.757,0.06,42.20684,-72.198619
01084,25015,2501513590,,,99,82,8.331,0.151,42.361724,-72.874987
01085,25013,2501376030,2576030,83926,41592,16742,59.727,1.135,42.153503,-72.771602
01088,25015,2501529265,,02103,725,401,5.254,0.055,42.3827,-72.640361
01089,25013,2501377890,2577890,83926,28755,13168,16.73,0.807,42.125451,-72.649734
01092,25027,2502773090,2578445,,1428,691,6.721,0.031,42.191868,-72.235108
01093,25011,2501179110,,,145,69,4.314,0.006,42.445258,-72.645058
01094,25027,2502728740,,,44,13,0.72,0.067,42.369762,-72.139283
01095,25013,2501379740,2579705,83926,14673,5709,22.489,0.29,42.138527,-72.420703
01096,25015,2501579915,,02103,2516,1240,35.883,0.325,42.410538,-72.76577
01097,25013,2501358650,,,36,17,1.74,0.161,42.165868,-72.830985
01098,25015,2501582175,,,951,600,31.886,0.138,42.397559,-72.943392
01103,25013,2501367000,2567000,83926,2245,1652,0.435,0.0,42.104418,-72.59008
01104,25013,2501367000,2567000,83926,22606,9786,5.232,0.149,42.132772,-72.567411
01105,25013,2501367000,2567000,83926,12045,5661,1.206,0.117,42.095246,-72.577603
01106,25013,2501336300,2536335,83926,16019,6213,9.586,0.56,42.045695,-72.563323
01107,25013,2501367000,2567000,83926,12443,4708,1.542,0.13,42.12106,-72.607068
01108,25013,2501367000,2567000,83926,26198,11392,3.441,0.102,42.082947,-72.55951
01109,25013,2501367000,2567000,83926,31301,10779,5.441,0.194,42.119674,-72.549726
01118,25013,2501367000,2567000,83926,15112,5867,3.596,0.094,42.094587,-72.525219
01119,25013,2501367000,2567000,83926,14182,5482,3.531,0.097,42.124978,-72.51121
01128,25013,2501367000,2567000,83926,3063,1102,1.109,0.0,42.092296,-72.489135
01129,25013,2501367000,2567000,83926,6486,2744,3.436,0.088,42.118671,-72.488203
01144,25013,2501367000,2567000,83926,0,0,0.022,0.0,42.101894,-72.590907
01151,25013,2501367000,2567000,83926,9467,3934,2.369,0.185,42.15186,-72.509131
01201,25003,2500353960,2553960,69778,45188,22225,60.372,2.714,42.454302,-73.282074
01220,25003,2500300555,2500590,63460,8149,4574,22.889,0.071,42.62556,-73.119828
01222,25003,2500361065,,,623,247,4.592,0.164,42.062743,-73.317498
01223,25003,2500304545,,,2565,2158,69.543,1.94,42.304286,-73.111494
01224,25003,2500334340,,69778,124,56,0.465,0.032,42.503728,-73.201636
01225,25003,2500313345,2513310,69778,3239,1698,26.812,0.708,42.565107,-73.149142
01226,25003,2500316180,,69778,6332,3003,21.759,0.099,42.479819,-73.153776
