"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"0500000US29101","Johnson County, Missouri","53889","null","*****","*****",
"0500000US29103","Knox County, Missouri","3782","null","*****","*****",
"0500000US29105","Laclede County, Missouri","35898","null","*****","*****",
"0500000US29107","Lafayette County, Missouri","32752","null","*****","*****",
"0500000US29109","Lawrence County, Missouri","38123","null","*****","*****",
"0500000US29111","Lewis County, Missouri","10031","null","*****","*****",
"0500000US29113","Lincoln County, Missouri","58689","null","*****","*****",
"0500000US29115","Linn County, Missouri","11962","null","*****","*****",
"0500000US29117","Livingston County, Missouri","15001","null","*****","*****",
"0500000US29119","McDonald County, Missouri","23267","null","*****","*****",
"0500000US29121","Macon County, Missouri","15222","null","*****","*****",
"0500000US29123","Madison County, Missouri","12597","null","*****","*****",
"0500000US29125","Maries County, Missouri","8457","null","*****","*****",
"0500000US29127","Marion County, Missouri","28564","null","*****","*****",
"0500000US29129","Mercer County, Missouri","3561","null","*****","*****",
"0500000US29131","Miller County, Missouri","24643","null","*****","*****",
"0500000US29133","Mississippi County, Missouri","12976","null","*****","*****",
"0500000US29135","Moniteau County, Missouri","15723","null","*****","*****",
"0500000US29137","Monroe County, Missouri","8643","null","*****","*****",
"0500000US29139","Montgomery County, Missouri","11384","null","*****","*****",
"0500000US29141","Morgan County, Missouri","20883","null","*****","*****",
"0500000US29143","New Madrid County, Missouri","16658","null","*****","*****",
"0500000US29145","Newton County, Missouri","58634","null","*****","*****",
"0500000US29147","Nodaway County, Missouri","21571","null","*****","*****",
"0500000US29149","Oregon County, Missouri","8891","null","*****","*****",
"0500000US29151","Osage County, Missouri","13372","null","*****","*****",
"0500000US29153","Ozark County, Missouri","8664","null","*****","*****",
"0500000US29155","Pemiscot County, Missouri","15949","null","*****","*****",
"0500000US29157","Perry County, Missouri","19007","null","*****","*****",
"0500000US29159","Pettis County, Missouri","42919","null","*****","*****",
"0500000US29161","Phelps County, Missouri","44692","null","*****","*****",
"0500000US29163","Pike County, Missouri","18052","null","*****","*****",
"0500000US29165","Platte County, Missouri","105189","null","*****","*****",
"0500000US29167","Polk County, Missouri","31541","null","*****","*****",
"0500000US29169","Pulaski County, Missouri","53460","null","*****","*****",
"0500000US29171","Putnam County, Missouri","4715","null","*****","*****",
"0500000US29173","Ralls County, Missouri","10318","null","*****","*****",
"0500000US29175","Randolph County, Missouri","24880","null","*****","*****",
"0500000US29177","Ray County, Missouri","23080","null","*****","*****",
"0500000US29179","Reynolds County, Missouri","6138","null","*****","*****",
"0500000US29181","Ripley County, Missouri","11032","null","*****","*****",
"0500000US29183","St. Charles County, Missouri","402377","null","*****","*****",
"0500000US29185","St. Clair County, Missouri","9235","null","*****","*****",
"0500000US29186","Ste. Genevieve County, Missouri","18406","null","*****","*****",
"0500000US29187","St. Francois County, Missouri","67168","null","*****","*****",
"0500000US29189","St. Louis County, Missouri","1001982","null","*****","*****",
"0500000US29195","Saline County, Missouri","23278","null","*****","*****",
"0500000US29197","Schuyler County, Missouri","4094","null","*****","*****",
"0500000US29199","Scotland County, Missouri","4760","null","*****","*****",
"0500000US29201","Scott County, Missouri","38161","null","*****","*****",
"0500000US29203","Shannon County, Missouri","7185","null","*****","*****",
"0500000US29205","Shelby County, Missouri","6087","null","*****","*****",
"0500000US29207","Stoddard County, Missouri","28812","null","*****","*****",
"0500000US29209","Stone County, Missouri","31018","null","*****","*****",
"0500000US29211","Sullivan County, Missouri","6045","null","*****","*****",
"0500000US29213","Taney County, Missouri","55854","null","*****","*****",
"0500000US29215","Texas County, Missouri","24866","null","*****","*****",
"0500000US29217","Vernon County, Missouri","19831","null","*****","*****",
"0500000US29219","Warren County, Missouri","35033","null","*****","*****",
"0500000US29221","Washington County, Missouri","23791","null","*****","*****",
"0500000US29223","Wayne County, Missouri","11298","null","*****","*****",
"0500000US29225","Webster County, Missouri","38978","null","*****","*****",
"0500000US29227","Worth County, Missouri","2004","null","*****","*****",
"0500000US29229","Wright County, Missouri","18244","null","*****","*****",
"0500000US29510","St. Louis city, Missouri","302787","null","*****","*****",
"0500000US30001","Beaverhead County, Montana","9391","null","*****","*****",
"0500000US30003","Big Horn County, Montana","13198","null","*****","*****",
"0500000US30005","Blaine County, Montana","7051","null","*****","*****",
"0500000US30007","Broadwater County, Montana","6641","null","*****","*****",
"0500000US30009","Carbon County, Montana","10488","null","*****","*****",
"0500000US30011","Carter County, Montana","1349","null","119","null",
"0500000US30013","Cascade County, Montana","84178","null","*****","*****",
"0500000US30015","Chouteau County, Montana","5896","null","*****","*****",
"0500000US30017","Custer County, Montana","11968","null","*****","*****",
"0500000US30019","Daniels County, Montana","1739","null","192","null",
"0500000US30021","Dawson County, Montana","9003","null","*****","*****",
"0500000US30023","Deer Lodge County, Montana","9380","null","*****","*****",
"0500000US30025","Fallon County, Montana","3074","null","192","null",
"0500000US30027","Fergus County, Montana","11464","null","*****","*****",
"0500000US30029","Flathead County, Montana","103400","null","*****","*****",
"0500000US30031","Gallatin County, Montana","116725","null","*****","*****",
"0500000US30033","Garfield County, Montana","972","null","125","null",
"0500000US30035","Glacier County, Montana","13827","null","*****","*****",
"0500000US30037","Golden Valley County, Montana","820","null","138","null",
"0500000US30039","Granite County, Montana","3333","null","*****","*****",
"0500000US30041","Hill County, Montana","16297","null","*****","*****",
"0500000US30043","Jefferson County, Montana","12057","null","*****","*****",
"0500000US30045","Judith Basin County, Montana","2004","null","*****","*****",
"0500000US30047","Lake County, Montana","31030","null","*****","*****",
"0500000US30049","Lewis and Clark County, Montana","70340","null","*****","*****",
"0500000US30051","Liberty County, Montana","2026","null","*****","*****",
"0500000US30053","Lincoln County, Montana","19674","null","*****","*****",
"0500000US30055","McCone County, Montana","1805","null","164","null",
"0500000US30057","Madison County, Montana","8499","null","*****","*****",
"0500000US30059","Meagher County, Montana","1932","null","*****","*****",
"0500000US30061","Mineral County, Montana","4490","null","*****","*****",
"0500000US30063","Missoula County, Montana","117379","null","*****","*****",
"0500000US30065","Musselshell County, Montana","4813","null","171","null",
"0500000US30067","Park County, Montana","17072","null","*****","*****",
"0500000US30069","Petroleum County, Montana","434","null","91","null",
"0500000US30071","Phillips County, Montana","4233","null","*****","*****",
"0500000US30073","Pondera County, Montana","5974","null","*****","*****",
"0500000US30075","Powder River County, Montana","1759","null","119","null",
"0500000US30077","Powell County, Montana","6955","null","*****","*****",
"0500000US30079","Prairie County, Montana","1227","null","150","null",
"0500000US30081","Ravalli County, Montana","43790","null","*****","*****",
"0500000US30083","Richland County, Montana","11375","null","*****","*****",
"0500000US30085","Roosevelt County, Montana","10884","null","*****","*****",
"0500000US30087","Rosebud County, Montana","8464","null","*****","*****",
"0500000US30089","Sanders County, Montana","12298","null","*****","*****",
"0500000US30091","Sheridan County, Montana","3522","null","192","null",
"0500000US30093","Silver Bow County, Montana","35017","null","*****","*****",
"0500000US30095","Stillwater County, Montana","8916","null","*****","*****",
"0500000US30097","Sweet Grass County, Montana","3690","null","*****","*****",
"0500000US30099","Teton County, Montana","6173","null","*****","*****",
"0500000US30101","Toole County, Montana","5013","null","*****","*****",
"0500000US30103","Treasure County, Montana","693","null","112","null",
"0500000US30105","Valley County, Montana","7553","null","*****","*****",
"0500000US30107","Wheatland County, Montana","2082","null","*****","*****",
"0500000US30109","Wibaux County, Montana","1018","null","154","null",
"0500000US30111","Yellowstone County, Montana","163593","null","*****","*****",
"0500000US31001","Adams County, Nebraska","31284","null","*****","*****",
"0500000US31003","Antelope County, Nebraska","6310","null","*****","*****",
"0500000US31005","Arthur County, Nebraska","472","null","77","null",
"0500000US31007","Banner County, Nebraska","605","null","102","null",
"0500000US31009","Blaine County, Nebraska","346","null","49","null",
"0500000US31011","Boone County, Nebraska","5413","null","*****","*****",
"0500000US31013","Box Butte County, Nebraska","10821","null","*****","*****",
"0500000US31015","Boyd County, Nebraska","1812","null","106","null",
"0500000US31017","Brown County, Nebraska","2752","null","130","null",
"0500000US31019","Buffalo County, Nebraska","49840","null","*****","*****",
"0500000US31021","Burt County, Nebraska","6705","null","*****","*****",
"0500000US31023","Butler County, Nebraska","8354","null","*****","*****",
"0500000US31025","Cass County, Nebraska","26546","null","*****","*****",
"0500000US31027","Cedar County, Nebraska","8401","null","*****","*****",
"0500000US31029","Chase County, Nebraska","3694","null","182","null",
"0500000US31031","Cherry County, Nebraska","5505","null","*****","*****",
"0500000US31033","Cheyenne County, Nebraska","9575","null","*****","*****",
"0500000US31035","Clay County, Nebraska","6104","null","*****","*****",
"0500000US31037","Colfax County, Nebraska","10608","null","*****","*****",
"0500000US31039","Cuming County, Nebraska","9035","null","*****","*****",
"0500000US31041","Custer County, Nebraska","10625","null","*****","*****",
"0500000US31043","Dakota County, Nebraska","21284","null","*****","*****",
"0500000US31045","Dawes County, Nebraska","8383","null","*****","*****",
"0500000US31047","Dawson County, Nebraska","24031","null","*****","*****",
"0500000US31049","Deuel County, Nebraska","1878","null","122","null",
"0500000US31051","Dixon County, Nebraska","5632","null","*****","*****",
"0500000US31053","Dodge County, Nebraska","37249","null","*****","*****",
"0500000US31055","Douglas County, Nebraska","578771","null","*****","*****",
"0500000US31057","Dundy County, Nebraska","1900","null","182","null",
"0500000US31059","Fillmore County, Nebraska","5561","null","*****","*****",
"0500000US31061","Franklin County, Nebraska","2914","null","*****","*****",
"0500000US31063","Frontier County, Nebraska","2512","null","80","null",
"0500000US31065","Furnas County, Nebraska","4655","null","*****","*****",
"0500000US31067","Gage County, Nebraska","21706","null","*****","*****",
"0500000US31069","Garden County, Nebraska","1726","null","139","null",
"0500000US31071","Garfield County, Nebraska","1889","null","99","null",
"0500000US31073","Gosper County, Nebraska","1811","null","145","null",
"0500000US31075","Grant County, Nebraska","718","null","93","null",
"0500000US31077","Greeley County, Nebraska","2219","null","*****","*****",
"0500000US31079","Hall County, Nebraska","62616","null","*****","*****",
"0500000US31081","Hamilton County, Nebraska","9376","null","*****","*****",
"0500000US31083","Harlan County, Nebraska","3216","null","145","null",
"0500000US31085","Hayes County, Nebraska","891","null","80","null",
"0500000US31087","Hitchcock County, Nebraska","2630","null","*****","*****",
"0500000US31089","Holt County, Nebraska","10175","null","*****","*****",
"0500000US31091","Hooker County, Nebraska","714","null","97","null",
"0500000US31093","Howard County, Nebraska","6461","null","*****","*****",
"0500000US31095","Jefferson County, Nebraska","7213","null","*****","*****",
"0500000US31097","Johnson County, Nebraska","5298","null","*****","*****",
"0500000US31099","Kearney County, Nebraska","6639","null","*****","*****",
"0500000US31101","Keith County, Nebraska","8312","null","*****","*****",
"0500000US31103","Keya Paha County, Nebraska","946","null","130","null",
"0500000US31105","Kimball County, Nebraska","3583","null","179","null",
"0500000US31107","Knox County, Nebraska","8434","null","*****","*****",
"0500000US31109","Lancaster County, Nebraska","320301","null","*****","*****",
"0500000US31111","Lincoln County, Nebraska","34906","null","*****","*****",
"0500000US31113","Logan County, Nebraska","865","null","92","null",
"0500000US31115","Loup County, Nebraska","665","null","89","null",
"0500000US31117","McPherson County, Nebraska","475","null","74","null",
"0500000US31119","Madison County, Nebraska","35553","null","*****","*****",
"0500000US31121","Merrick County, Nebraska","7687","null","*****","*****",
"0500000US31123","Morrill County, Nebraska","4595","null","*****","*****",
"0500000US31125","Nance County, Nebraska","3389","null","*****","*****",
"0500000US31127","Nemaha County, Nebraska","7025","null","*****","*****",
"0500000US31129","Nuckolls County, Nebraska","4125","null","*****","*****",
"0500000US31131","Otoe County, Nebraska","15916","null","*****","*****",
"0500000US31133","Pawnee County, Nebraska","2564","null","*****","*****",
"0500000US31135","Perkins County, Nebraska","2865","null","*****","*****",
"0500000US31137","Phelps County, Nebraska","8972","null","*****","*****",
"0500000US31139","Pierce County, Nebraska","7266","null","*****","*****",
"0500000US31141","Platte County, Nebraska","34123","null","*****","*****",
"0500000US31143","Polk County, Nebraska","5223","null","*****","*****",
"0500000US31145","Red Willow County, Nebraska","10724","null","*****","*****",
"0500000US31147","Richardson County, Nebraska","7893","null","*****","*****",
"0500000US31149","Rock County, Nebraska","1321","null","106","null",
"0500000US31151","Saline County, Nebraska","14395","null","*****","*****",
"0500000US31153","Sarpy County, Nebraska","188464","null","*****","*****",
"0500000US31155","Saunders County, Nebraska","22008","null","*****","*****",
"0500000US31157","Scotts Bluff County, Nebraska","36229","null","*****","*****",
"0500000US31159","Seward County, Nebraska","17605","null","*****","*****",
"0500000US31161","Sheridan County, Nebraska","5150","null","*****","*****",
"0500000US31163","Sherman County, Nebraska","2986","null","*****","*****",
"0500000US31165","Sioux County, Nebraska","1081","null","160","null",
"0500000US31167","Stanton County, Nebraska","5877","null","*****","*****",
"0500000US31169","Thayer County, Nebraska","5053","null","*****","*****",
"0500000US31171","Thomas County, Nebraska","562","null","64","null",
"0500000US31173","Thurston County, Nebraska","6806","null","*****","*****",
"0500000US31175","Valley County, Nebraska","4031","null","89","null",
"0500000US31177","Washington County, Nebraska","20699","null","*****","*****",
"0500000US31179","Wayne County, Nebraska","9590","null","*****","*****",
"0500000US31181","Webster County, Nebraska","3442","null","*****","*****",
"0500000US31183","Wheeler County, Nebraska","735","null","99","null",
"0500000US31185","York County, Nebraska","14164","null","*****","*****",
"0500000US32001","Churchill County, Nevada","25077","null","*****","*****",
"0500000US32003","Clark County, Nevada","2231147","null","*****","*****",
"0500000US32005","Douglas County, Nevada","49158","null","*****","*****",
"0500000US32007","Elko County, Nevada","53420","null","*****","*****",
"0500000US32009","Esmeralda County, Nevada","987","null","234","null",
"0500000US32011","Eureka County, Nevada","1603","null","234","null",
"0500000US32013","Humboldt County, Nevada","17218","null","*****","*****",
"0500000US32015","Lander County, Nevada","5729","null","*****","*****",
"0500000US32017","Lincoln County, Nevada","4600","null","*****","*****",
"0500000US32019","Lyon County, Nevada","58029","null","*****","*****",
"0500000US32021","Mineral County, Nevada","4552","null","*****","*****",
"0500000US32023","Nye County, Nevada","50096","null","*****","*****",
"0500000US32027","Pershing County, Nevada","6668","null","*****","*****",
"0500000US32029","Storey County, Nevada","4047","null","*****","*****",
"0500000US32031","Washoe County, Nevada","479758","null","*****","*****",
"0500000US32033","White Pine County, Nevada","9192","null","*****","*****",
"0500000US32510","Carson City, Nevada","57957","null","*****","*****",
"0500000US33001","Belknap County, New Hampshire","63395","null","*****","*****",
"0500000US33003","Carroll County, New Hampshire","49961","null","*****","*****",
"0500000US33005","Cheshire County, New Hampshire","76473","null","*****","*****",
"0500000US33007","Coos County, New Hampshire","31360","null","*****","*****",
"0500000US33009","Grafton County, New Hampshire","91025","null","*****","*****",
"0500000US33011","Hillsborough County, New Hampshire","420504","null","*****","*****",
"0500000US33013","Merrimack County, New Hampshire","152983","null","*****","*****",
"0500000US33015","Rockingham County, New Hampshire","312771","null","*****","*****",
"0500000US33017","Strafford County, New Hampshire","130598","null","*****","*****",
"0500000US33019","Sullivan County, New Hampshire","43105","null","*****","*****",
"0500000US34001","Atlantic County, New Jersey","273865","null","*****","*****",
"0500000US34003","Bergen County, New Jersey","952979","null","*****","*****",
"0500000US34005","Burlington County, New Jersey","460102","null","*****","*****",
"0500000US34007","Camden County, New Jersey","521194","null","*****","*****",
"0500000US34009","Cape May County, New Jersey","95488","null","*****","*****",
"0500000US34011","Cumberland County, New Jersey","154921","null","*****","*****",
"0500000US34013","Essex County, New Jersey","852720","null","*****","*****",
"0500000US34015","Gloucester County, New Jersey","300821","null","*****","*****",
"0500000US34017","Hudson County, New Jersey","713264","null","*****","*****",
"0500000US34019","Hunterdon County, New Jersey","128807","null","*****","*****",
"0500000US34021","Mercer County, New Jersey","384951","null","*****","*****",
"0500000US34023","Middlesex County, New Jersey","858770","null","*****","*****",
"0500000US34025","Monmouth County, New Jersey","642160","null","*****","*****",
"0500000US34027","Morris County, New Jersey","508347","null","*****","*****",
"0500000US34029","Ocean County, New Jersey","630057","null","*****","*****",
"0500000US34031","Passaic County, New Jersey","521067","null","*****","*****",
"0500000US34033","Salem County, New Jersey","64752","null","*****","*****",
"0500000US34035","Somerset County, New Jersey","343950","null","*****","*****",
"0500000US34037","Sussex County, New Jersey","144492","null","*****","*****",
"0500000US34039","Union County, New Jersey","571963","null","*****","*****",
"0500000US34041","Warren County, New Jersey","109354","null","*****","*****",
"0500000US35001","Bernalillo County, New Mexico","674919","null","*****","*****",
"0500000US35003","Catron County, New Mexico","3581","null","*****","*****",
"0500000US35005","Chaves County, New Mexico","65014","null","*****","*****",
"0500000US35006","Cibola County, New Mexico","27284","null","*****","*****",
"0500000US35007","Colfax County, New Mexico","12406","null","*****","*****",
"0500000US35009","Curry County, New Mexico","48716","null","*****","*****",
"0500000US35011","De Baca County, New Mexico","1873","null","133","null",
"0500000US35013","Doña Ana County, New Mexico","218157","null","*****","*****",
"0500000US35015","Eddy County, New Mexico","61096","null","*****","*****",
"0500000US35017","Grant County, New Mexico","28178","null","*****","*****",
"0500000US35019","Guadalupe County, New Mexico","4465","null","*****","*****",
"0500000US35021","Harding County, New Mexico","533","null","132","null",
"0500000US35023","Hidalgo County, New Mexico","4214","null","*****","*****",
"0500000US35025","Lea County, New Mexico","72743","null","*****","*****",
"0500000US35027","Lincoln County, New Mexico","20084","null","*****","*****",
"0500000US35028","Los Alamos County, New Mexico","19169","null","*****","*****",
"0500000US35029","Luna County, New Mexico","25282","null","*****","*****",
"0500000US35031","McKinley County, New Mexico","72946","null","*****","*****",
"0500000US35033","Mora County, New Mexico","4232","null","*****","*****",
"0500000US35035","Otero County, New Mexico","67298","null","*****","*****",
"0500000US35037","Quay County, New Mexico","8675","null","*****","*****",
"0500000US35039","Rio Arriba County, New Mexico","40347","null","*****","*****",
"0500000US35041","Roosevelt County, New Mexico","19223","null","*****","*****",
"0500000US35043","Sandoval County, New Mexico","147327","null","*****","*****",
"0500000US35045","San Juan County, New Mexico","122912","null","*****","*****",
"0500000US35047","San Miguel County, New Mexico","27357","null","*****","*****",
"0500000US35049","Santa Fe County, New Mexico","153632","null","*****","*****",
"0500000US35051","Sierra County, New Mexico","11512","null","*****","*****",
"0500000US35053","Socorro County, New Mexico","16605","null","*****","*****",
"0500000US35055","Taos County, New Mexico","34322","null","*****","*****",
"0500000US35057","Torrance County, New Mexico","15150","null","*****","*****",
"0500000US35059","Union County, New Mexico","4122","null","*****","*****",
"0500000US35061","Valencia County, New Mexico","75992","null","*****","*****",
"0500000US36001","Albany County, New York","314679","null","*****","*****",
"0500000US36003","Allegany County, New York","46654","null","*****","*****",
"0500000US36005","Bronx County, New York","1468262","null","*****","*****",
"0500000US36007","Broome County, New York","198591","null","*****","*****",
"0500000US36009","Cattaraugus County, New York","77211","null","*****","*****",
"0500000US36011","Cayuga County, New York","76644","null","*****","*****",
"0500000US36013","Chautauqua County, New York","128042","null","*****","*****",
"0500000US36015","Chemung County, New York","84456","null","*****","*****",
"0500000US36017","Chenango County, New York","47407","null","*****","*****",
"0500000US36019","Clinton County, New York","80095","null","*****","*****",
"0500000US36021","Columbia County, New York","61587","null","*****","*****",
"0500000US36023","Cortland County, New York","46984","null","*****","*****",
"0500000US36025","Delaware County, New York","44644","null","*****","*****",
"0500000US36027","Dutchess County, New York","296012","null","*****","*****",
"0500000US36029","Erie County, New York","949715","null","*****","*****",
"0500000US36031","Essex County, New York","37501","null","*****","*****",
"0500000US36033","Franklin County, New York","47996","null","*****","*****",
"0500000US36035","Fulton County, New York","53588","null","*****","*****",
"0500000US36037","Genesee County, New York","58387","null","*****","*****",
"0500000US36039","Greene County, New York","48026","null","*****","*****",
"0500000US36041","Hamilton County, New York","5068","null","*****","*****",
"0500000US36043","Herkimer County, New York","60596","null","*****","*****",
"0500000US36045","Jefferson County, New York","117634","null","*****","*****",
"0500000US36047","Kings County, New York","2712360","null","*****","*****",
"0500000US36049","Lewis County, New York","26681","null","*****","*****",
"0500000US36051","Livingston County, New York","62253","null","*****","*****",
"0500000US36053","Madison County, New York","68466","null","*****","*****",
"0500000US36055","Monroe County, New York","757332","null","*****","*****",
"0500000US36057","Montgomery County, New York","49539","null","*****","*****",
"0500000US36059","Nassau County, New York","1391678","null","*****","*****",
"0500000US36061","New York County, New York","1669127","null","*****","*****",
"0500000US36063","Niagara County, New York","212808","null","*****","*****",
"0500000US36065","Oneida County, New York","232034","null","*****","*****",
"0500000US36067","Onondaga County, New York","474621","null","*****","*****",
"0500000US36069","Ontario County, New York","112060","null","*****","*****",
"0500000US36071","Orange County, New York","398277","null","*****","*****",
"0500000US36073","Orleans County, New York","40588","null","*****","*****",
"0500000US36075","Oswego County, New York","118019","null","*****","*****",
"0500000US36077","Otsego County, New York","58952","null","*****","*****",
"0500000US36079","Putnam County, New York","97960","null","*****","*****",
"0500000US36081","Queens County, New York","2393104","null","*****","*****",
"0500000US36083","Rensselaer County, New York","161125","null","*****","*****",
"0500000US36085","Richmond County, New York","493194","null","*****","*****",
"0500000US36087","Rockland County, New York","336485","null","*****","*****",
"0500000US36089","St. Lawrence County, New York","108836","null","*****","*****",
"0500000US36091","Saratoga County, New York","235010","null","*****","*****",
"0500000US36093","Schenectady County, New York","157515","null","*****","*****",
"0500000US36095","Schoharie County, New York","29936","null","*****","*****",
"0500000US36097","Schuyler County, New York","17920","null","*****","*****",
"0500000US36099","Seneca County, New York","33900","null","*****","*****",
"0500000US36101","Steuben County, New York","94153","null","*****","*****",
"0500000US36103","Suffolk County, New York","1522998","null","*****","*****",
"0500000US36105","Sullivan County, New York","78230","null","*****","*****",
"0500000US36107","Tioga County, New York","48567","null","*****","*****",
"0500000US36109","Tompkins County, New York","105638","null","*****","*****",
"0500000US36111","Ulster County, New York","181862","null","*****","*****",
"0500000US36113","Warren County, New York","65692","null","*****","*****",
"0500000US36115","Washington County, New York","61504","null","*****","*****",
"0500000US36117","Wayne County, New York","91332","null","*****","*****",
"0500000US36119","Westchester County, New York","999723","null","*****","*****",
"0500000US36121","Wyoming County, New York","40679","null","*****","*****",
"0500000US36123","Yates County, New York","24808","null","*****","*****",
"0500000US37001","Alamance County, North Carolina","169185","null","*****","*****",
"0500000US37003","Alexander County, North Carolina","36491","null","*****","*****",
"0500000US37005","Alleghany County, North Carolina","10910","null","*****","*****",
"0500000US37007","Anson County, North Carolina","22388","null","*****","*****",
"0500000US37009","Ashe County, North Carolina","26598","null","*****","*****",
"0500000US37011","Avery County, North Carolina","17747","null","*****","*****",
"0500000US37013","Beaufort County, North Carolina","44898","null","*****","*****",
"0500000US37015","Bertie County, North Carolina","18105","null","*****","*****",
"0500000US37017","Bladen County, North Carolina","30105","null","*****","*****",
"0500000US37019","Brunswick County, North Carolina","133789","null","*****","*****",
"0500000US37021","Buncombe County, North Carolina","266981","null","*****","*****",
"0500000US37023","Burke County, North Carolina","87829","null","*****","*****",
"0500000US37025","Cabarrus County, North Carolina","221200","null","*****","*****",
"0500000US37027","Caldwell County, North Carolina","80705","null","*****","*****",
"0500000US37029","Camden County, North Carolina","10353","null","*****","*****",
"0500000US37031","Carteret County, North Carolina","67944","null","*****","*****",
"0500000US37033","Caswell County, North Carolina","22785","null","*****","*****",
"0500000US37035","Catawba County, North Carolina","159852","null","*****","*****",
"0500000US37037","Chatham County, North Carolina","75070","null","*****","*****",
"0500000US37039","Cherokee County, North Carolina","28515","null","*****","*****",
"0500000US37041","Chowan County, North Carolina","13796","null","*****","*****",
"0500000US37043","Clay County, North Carolina","10997","null","*****","*****",
"0500000US37045","Cleveland County, North Carolina","98898","null","*****","*****",
"0500000US37047","Columbus County, North Carolina","51474","null","*****","*****",
"0500000US37049","Craven County, North Carolina","101405","null","*****","*****",
"0500000US37051","Cumberland County, North Carolina","333582","null","*****","*****",
"0500000US37053","Currituck County, North Carolina","27575","null","*****","*****",
"0500000US37055","Dare County, North Carolina","36718","null","*****","*****",
"0500000US37057","Davidson County, North Carolina","168002","null","*****","*****",
"0500000US37059","Davie County, North Carolina","42543","null","*****","*****",
"0500000US37061","Duplin County, North Carolina","49836","null","*****","*****",
"0500000US37063","Durham County, North Carolina","320146","null","*****","*****",
"0500000US37065","Edgecombe County, North Carolina","49609","null","*****","*****",
"0500000US37067","Forsyth County, North Carolina","380583","null","*****","*****",
"0500000US37069","Franklin County, North Carolina","67598","null","*****","*****",
"0500000US37071","Gaston County, North Carolina","226097","null","*****","*****",
"0500000US37073","Gates County, North Carolina","10584","null","*****","*****",
"0500000US37075","Graham County, North Carolina","8089","null","*****","*****",
"0500000US37077","Granville County, North Carolina","60854","null","*****","*****",
"0500000US37079","Greene County, North Carolina","20524","null","*****","*****",
"0500000US37081","Guilford County, North Carolina","537113","null","*****","*****",
"0500000US37083","Halifax County, North Carolina","49291","null","*****","*****",
"0500000US37085","Harnett County, North Carolina","133074","null","*****","*****",
"0500000US37087","Haywood County, North Carolina","61695","null","*****","*****",
"0500000US37089","Henderson County, North Carolina","115613","null","*****","*****",
"0500000US37091","Hertford County, North Carolina","22010","null","*****","*****",
"0500000US37093","Hoke County, North Carolina","52169","null","*****","*****",
"0500000US37095","Hyde County, North Carolina","4697","null","*****","*****",
"0500000US37097","Iredell County, North Carolina","183965","null","*****","*****",
"0500000US37099","Jackson County, North Carolina","42983","null","*****","*****",
"0500000US37101","Johnston County, North Carolina","211320","null","*****","*****",
"0500000US37103","Jones County, North Carolina","9326","null","*****","*****",
"0500000US37105","Lee County, North Carolina","62676","null","*****","*****",
"0500000US37107","Lenoir County, North Carolina","55344","null","*****","*****",
"0500000US37109","Lincoln County, North Carolina","85670","null","*****","*****",
"0500000US37111","McDowell County, North Carolina","44527","null","*****","*****",
"0500000US37113","Macon County, North Carolina","36532","null","*****","*****",
"0500000US37115","Madison County, North Carolina","21269","null","*****","*****",
"0500000US37117","Martin County, North Carolina","22213","null","*****","*****",
"0500000US37119","Mecklenburg County, North Carolina","1100984","null","*****","*****",
"0500000US37121","Mitchell County, North Carolina","14951","null","*****","*****",
"0500000US37123","Montgomery County, North Carolina","25891","null","*****","*****",
"0500000US37125","Moore County, North Carolina","98618","null","*****","*****",
"0500000US37127","Nash County, North Carolina","94628","null","*****","*****",
"0500000US37129","New Hanover County, North Carolina","225175","null","*****","*****",
"0500000US37131","Northampton County, North Carolina","17917","null","*****","*****",
"0500000US37133","Onslow County, North Carolina","201597","null","*****","*****",
"0500000US37135","Orange County, North Carolina","147376","null","*****","*****",
"0500000US37137","Pamlico County, North Carolina","12293","null","*****","*****",
"0500000US37139","Pasquotank County, North Carolina","40240","null","*****","*****",
"0500000US37141","Pender County, North Carolina","59964","null","*****","*****",
"0500000US37143","Perquimans County, North Carolina","13002","null","*****","*****",
"0500000US37145","Person County, North Carolina","38999","null","*****","*****",
"0500000US37147","Pitt County, North Carolina","170600","null","*****","*****",
"0500000US37149","Polk County, North Carolina","19413","null","*****","*****",
"0500000US37151","Randolph County, North Carolina","143735","null","*****","*****",
"0500000US37153","Richmond County, North Carolina","43301","null","*****","*****",
"0500000US37155","Robeson County, North Carolina","118836","null","*****","*****",
"0500000US37157","Rockingham County, North Carolina","90903","null","*****","*****",
"0500000US37159","Rowan County, North Carolina","145784","null","*****","*****",
"0500000US37161","Rutherford County, North Carolina","64592","null","*****","*****",
"0500000US37163","Sampson County, North Carolina","59468","null","*****","*****",
"0500000US37165","Scotland County, North Carolina","34345","null","*****","*****",
"0500000US37167","Stanly County, North Carolina","62148","null","*****","*****",
"0500000US37169","Stokes County, North Carolina","44588","null","*****","*****",
"0500000US37171","Surry County, North Carolina","71439","null","*****","*****",
"0500000US37173","Swain County, North Carolina","14166","null","*****","*****",
"0500000US37175","Transylvania County, North Carolina","32979","null","*****","*****",
"0500000US37177","Tyrrell County, North Carolina","3436","null","*****","*****",
"0500000US37179","Union County, North Carolina","235699","null","*****","*****",
"0500000US37181","Vance County, North Carolina","42650","null","*****","*****",
