GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
09200|400C200US09200|Boothbay Harbor, ME Urban Area|29076101|10829901|11.226|4.181|43.835485|-69.622164
09217|400C200US09217|Borger, TX Urban Area|24266124|51733|9.369|0.02|35.666797|-101.399608
09271|400C200US09271|Boston, MA--NH Urban Area|4288970148|185448589|1655.981|71.602|42.378999|-71.142344
09298|400C200US09298|Boulder, CO Urban Area|65915191|653220|25.45|0.252|40.023878|-105.243811
09325|400C200US09325|Boulder City, NV Urban Area|14826357|0|5.724|0.|35.973364|-114.840711
09352|400C200US09352|Bowie, TX Urban Area|11176411|46255|4.315|0.018|33.560626|-97.84825
09379|400C200US09379|Bowling Green, KY Urban Area|135220376|728527|52.209|0.281|36.963135|-86.440824
09433|400C200US09433|Bowling Green, OH Urban Area|29412237|165541|11.356|0.064|41.374021|-83.65123
09460|400C200US09460|Box Elder, SD Urban Area|15755019|0|6.083|0.|44.147281|-103.065446
09487|400C200US09487|Boyne City, MI Urban Area|13768971|172067|5.316|0.066|45.206022|-85.000772
09514|400C200US09514|Bozeman, MT Urban Area|55420007|137703|21.398|0.053|45.677082|-111.055647
09536|400C200US09536|Bradenton--Sarasota--Venice, FL Urban Area|1046850921|102300344|404.191|39.498|27.28683|-82.457015
09541|400C200US09541|Bradford, PA--NY Urban Area|14875094|289223|5.743|0.112|41.963843|-78.641214
09568|400C200US09568|Brady, TX Urban Area|7577027|19525|2.926|0.008|31.129823|-99.337175
09622|400C200US09622|Brainerd, MN Urban Area|41800332|2606175|16.139|1.006|46.361308|-94.214063
09649|400C200US09649|Brandon, SD Urban Area|11913927|6506|4.6|0.003|43.593329|-96.580853
09676|400C200US09676|Branson, MO Urban Area|90048673|1284779|34.768|0.496|36.64692|-93.247916
09703|400C200US09703|Brattleboro, VT Urban Area|14971868|99319|5.781|0.038|42.858719|-72.574444
09730|400C200US09730|Brawley, CA Urban Area|12301475|0|4.75|0.|32.977834|-115.535864
09757|400C200US09757|Brazil, IN Urban Area|17102535|49727|6.603|0.019|39.523118|-87.117042
09801|400C200US09801|Breaux Bridge, LA Urban Area|55075900|797785|21.265|0.308|30.28917|-91.874349
09811|400C200US09811|Breckenridge, CO Urban Area|28857616|0|11.142|0.|39.48617|-106.03932
