GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
05167	Barnstable Town, MA Urbanized Area	U	718700832	58519861	277.492	22.595	41.625166	-70.576098                                                                                                       
05194	Barnwell, SC Urban Cluster	C	9372803	40813	3.619	0.016	33.248668	-81.361338                                                                                                                       
05221	Barre--Montpelier, VT Urban Cluster	C	45915035	525069	17.728	0.203	44.198429	-72.517883                                                                                                           
05248	Barron, WI Urban Cluster	C	4959731	49729	1.915	0.019	45.401884	-91.853281                                                                                                                         
05275	Barrow, AK Urban Cluster	C	2102063	437401	0.812	0.169	71.296591	-156.764662                                                                                                                       
05302	Barstow, CA Urban Cluster	C	31946958	0	12.335	0.	34.888012	-117.038396                                                                                                                            
05329	Bartlesville, OK Urban Cluster	C	63346177	32200	24.458	0.012	36.745387	-95.956299                                                                                                                 
05356	Bartlett, TX Urban Cluster	C	2793683	1094	1.079	0.	30.796199	-97.433073                                                                                                                           
05410	Basalt--El Jebel, CO Urban Cluster	C	10373930	76359	4.005	0.029	39.388924	-107.087515                                                                                                             
05423	Basehor, KS Urban Cluster	C	6492730	102674	2.507	0.04	39.127539	-94.941756                                                                                                                        
05437	Bastrop, LA Urban Cluster	C	26096137	105190	10.076	0.041	32.776783	-91.913851                                                                                                                     
05464	Bastrop, TX Urban Cluster	C	29776941	319325	11.497	0.123	30.100767	-97.282499                                                                                                                     
05491	Batavia, NY Urban Cluster	C	20720562	211667	8.	0.082	43.002665	-78.177406                                                                                                                         
05518	Batesburg-Leesville, SC Urban Cluster	C	14968619	127564	5.779	0.049	33.908055	-81.510262                                                                                                          
05545	Batesville, AR Urban Cluster	C	23827437	202777	9.2	0.078	35.7706	-91.633541                                                                                                                       
05572	Batesville, IN Urban Cluster	C	15542613	133130	6.001	0.051	39.297672	-85.199542                                                                                                                   
05599	Batesville, MS Urban Cluster	C	21307722	0	8.227	0.	34.304023	-89.942156                                                                                                                           
05653	Bath, NY Urban Cluster	C	11099053	244884	4.285	0.095	42.34625	-77.31417                                                                                                                           
05680	Baton Rouge, LA Urbanized Area	U	949969170	11885613	366.785	4.589	30.427916	-91.038968                                                                                                            
05707	Battle Creek, MI Urbanized Area	U	137406261	3529662	53.053	1.363	42.31374	-85.197926                                                                                                              
05734	Battlement Mesa, CO Urban Cluster	C	7578755	918	2.926	0.	39.453934	-108.05174                                                                                                                     
05761	Battle Mountain, NV Urban Cluster	C	5053789	0	1.951	0.	40.638329	-116.946302                                                                                                                      
05788	Baxley, GA Urban Cluster	C	14577899	10340	5.629	0.004	31.771186	-82.346883                                                                                                                        
05815	Baxter Springs, KS Urban Cluster	C	11515388	0	4.446	0.	37.021334	-94.737759                                                                                                                       
05842	Bayard, NM Urban Cluster	C	7007191	28840	2.705	0.011	32.764691	-108.140065                                                                                                                        
05869	Bay City, MI Urbanized Area	U	104487607	4140385	40.343	1.599	43.608667	-83.890414                                                                                                                 
05896	Bay City, TX Urban Cluster	C	24247356	8497	9.362	0.003	28.980707	-95.954967                                                                                                                       
05904	Bayfield, CO Urban Cluster	C	4722540	0	1.823	0.	37.241913	-107.59671                                                                                                                              
05923	Bay Minette, AL Urban Cluster	C	14882320	135319	5.746	0.052	30.883529	-87.775532                                                                                                                  
05958	Bealeton, VA Urban Cluster	C	9545701	26766	3.686	0.01	38.567378	-77.786511                                                                                                                        
05977	Beardstown, IL Urban Cluster	C	7476460	212332	2.887	0.082	40.013495	-90.423833                                                                                                                    
06004	Beatrice, NE Urban Cluster	C	17387074	169917	6.713	0.066	40.267398	-96.743305                                                                                                                     
06031	Beaufort--Port Royal, SC Urban Cluster	C	118161731	13529890	45.623	5.224	32.423368	-80.716463                                                                                                     
06058	Beaumont, TX Urbanized Area	U	237552611	2848271	91.72	1.1	30.11918	-94.127119                                                                                                                     
