Urban Area GEOID,County GEOID,Population,Housing Units,Land Area,Water Area
11620,16067,4848,1865,10055433,966967
11647,08063,4243,1480,3838628,0
11674,17071,25,11,426769,3555
11674,19057,29544,13837,39816160,125030
11701,20031,2503,1230,4148454,2341
11728,37001,107971,47698,201624854,1672444
11728,37081,7400,3468,16947733,129228
11728,37135,4540,1966,15636438,257662
11755,50007,108740,45774,159947183,2727737
11782,55101,23534,10241,34026307,3107951
11809,48053,5428,1974,10064941,27207
11836,06089,3171,1455,5245348,43741
11863,41025,4131,2111,6511204,0
11872,12015,1237,730,5076316,464119
11872,12071,1824,2061,3075659,320519
11890,12119,3500,2263,7038547,3987
11917,17109,3045,1375,3808719,19836
11944,18033,2651,1072,3175978,0
11971,29013,3875,1884,5541871,16230
11998,42019,40352,18974,85129131,329997
12025,37077,16975,4461,44485302,86139
12052,30093,30287,14923,42720517,0
12079,17141,7057,2755,13460236,143713
12106,27109,4864,1869,6124189,0
12120,40031,2600,1060,3986908,0
12133,48341,3292,952,1904472,0
12160,26165,11690,5829,22635287,4763329
12187,21221,2960,1386,5668124,12602
12214,39067,2521,1220,4471136,332
12241,13131,9414,3896,16790008,157085
12268,17003,2833,1603,4899066,0
12295,23029,2504,1316,4410589,0
12322,39121,5488,1413,7278827,48687
12349,48051,4012,1603,7878929,48478
12376,27055,2749,1297,4462186,571
12457,13015,4760,1979,10453413,34415
12457,13129,26733,10665,75198824,445038
12511,29135,4181,1871,5856850,32934
12565,06029,10908,4899,19454995,163522
12592,06025,3538,1116,2661781,0
12646,06055,5155,2319,6721951,47146
12700,53029,6157,3307,17183729,128605
12713,53029,2529,1610,5160301,0
12754,06111,71772,28232,56968456,39631
12781,06079,5865,3971,9220820,0
12808,24019,14255,7188,22435799,345102
12835,27059,14270,5817,25666378,1286923
12862,39059,15232,7484,25501438,9982
12872,55025,1211,560,1590733,18002
12872,55055,1366,852,2940263,1475345
12889,18177,3805,1768,7990028,414551
12890,42039,2602,752,2092684,0
12916,05103,11401,5653,30721126,22456
12943,23013,3968,2520,7712596,4198
12970,45055,13546,6478,40708565,1288210
12997,47005,3552,1724,10463498,0
13024,29029,3632,1646,7577522,0
13051,29049,4935,2119,6751193,68510
13051,29063,4847,731,3735703,15228
13078,48331,5389,2290,7999237,0
13132,13205,6939,2081,13853523,0
13159,21217,11719,5258,20054972,301025
13170,04025,5305,2434,16164977,0
13177,48211,2781,1134,3863430,0
13221,41005,17119,6387,12951314,55151
13240,27049,3931,1809,7033206,86288
13267,08043,27139,10533,50254231,31525
13294,17057,14818,6008,16710933,0
13321,28089,15321,5541,27643826,334064
13348,36089,6489,1828,8434979,234290
13375,39151,278347,125293,427123941,3013149
13375,39153,898,345,3975451,29284
13402,46083,2679,1204,2980480,0
13429,48467,3563,1536,11408670,50124
13456,48381,13440,5655,15942568,13750
13483,48091,5277,3244,16925074,20550
13510,12015,172,160,106776,0
13510,12071,530118,307438,855391977,106856311
13537,17003,309,144,1188522,36954
13537,29031,52591,23048,89541290,134364
13550,15001,4175,1640,10828493,0
13564,08045,7159,2665,5479835,0
13591,17077,28176,13661,36152758,1079159
13591,17199,39645,18625,89915276,1511393
13618,39175,3575,1604,3721271,0
13645,23003,3974,2002,6348283,45526
13699,17117,5953,2641,7352065,0
13753,19153,279,134,394870,42798
13753,19181,3689,1450,3477649,0
13807,35015,29839,12727,56779556,707259
13821,41071,3178,1196,9786347,0
13834,17027,4301,1896,6576254,0
13850,06053,3122,1507,7519695,115864
13861,17193,5568,2704,6419770,14612
13915,26157,5113,2413,9135455,2184
13969,48127,6050,2345,10098227,41608
13996,19027,9984,4648,11911518,0
14023,13045,42872,17154,116812828,2594342
14050,21041,5165,2232,9373930,207348
14077,29033,3296,1659,5620507,0
14104,39019,3498,1588,6184402,0
14158,32005,4726,1938,5839800,0
14158,32019,754,309,1093274,0
14158,32510,52599,22375,52860999,156254
14185,13015,52477,20826,131056548,294694
14212,17067,2582,1298,4207409,0
14239,28079,4478,1518,10751328,4487
14266,29097,15496,6223,23502004,0
14320,47159,3282,1506,7503933,323757
14347,48365,6492,2783,18006912,0
14374,29155,5786,2536,7391324,267
14401,04021,51331,23555,57668369,0
14428,17023,2834,1385,4437147,0
14455,53007,4725,1851,7316407,59441
14482,56025,64548,28679,78586197,497830
14536,29009,4084,1759,10725124,13226
14556,49015,2893,1162,6801498,0
14570,53015,2514,1103,6168956,103700
14590,48325,4040,1635,9878868,58024
14644,36039,6453,3179,10382232,114656
14671,36053,3114,1188,4086699,0
14698,49021,33200,11995,43431838,0
14705,08029,3550,1734,8370484,0
