ZCTA5,Place GEOID,Population,Housing Units,Land Area,Water Area
02633,2512960,1421,2094,6831725,2199764
02633,2575505,1125,1306,5153835,671737
02635,2503690,3296,2184,14312729,2548265
02637,2503690,253,149,1811366,77848
02638,2516740,2407,2533,12634834,532675
02638,2518840,800,597,2649884,101948
02639,2516810,2842,4890,7080932,656562
02639,2549700,6,4,7710,0
02639,2575820,27,18,76700,0
02641,2518840,532,637,5286447,202124
02642,2547590,1787,2801,8685498,1194518
02644,2524190,3955,1480,9225733,569789
02645,2519400,4872,3214,20771665,1949267
02645,2529055,1705,1136,5557395,108333
02645,2529090,351,395,1036841,95995
02645,2549700,2641,1411,13723371,2420537
02646,2529055,93,85,268365,0
02646,2529090,1293,2029,5778687,499134
02646,2549700,290,507,1751529,302271
02647,2503690,129,260,1226877,477504
02648,2503690,7301,3188,24027628,2665940
02649,2539152,1000,614,3279464,482611
02649,2541960,147,144,599607,0
02649,2545500,717,1739,6169424,433173
02649,2555070,220,623,791665,30035
02649,2555090,26,71,186399,802833
02649,2560505,455,261,905774,6461
02649,2560627,100,131,266476,12634
02651,2547590,16,30,181584,0
02653,2551405,1621,1322,5923754,279743
02655,2503690,3518,3053,16911218,4447734
02657,2555535,2642,4263,4628072,1670901
